title_ja,title_en,tags,cover_image_path,description
,Uso Kareshi Demo Ii Kara Tonikaku Shitai Mashiro-chan,Romance|Comedy|School Life,data/images\1760bde8-b369-4072-943d-1d99a521d75c.jpg,"Mashiro Naomoto wants to have a taste of romance and even get to try lewd things  now that she has become a high school student.  However  she has low self-esteem and as a result of lacking confidence in herself  she began to think that it's probably impossible for her. Right at that moment  to her surprise a handsome male classmate named Oosagi-kun confesses to her. Mashiro starts to suspect that his confession must be some sort of punishment game  but her own desire to do lewd stuff wins over it and as a result  she does the opposite and makes a move on him... it's a case of sexual desire winning over suspicion?!  (Source: Comic-Meteor) ___ * [Twitter](https://twitter.com/nekomattaaaaan/status/1851462156996551019) (Preview) *Posted with the caption: Doushitemo Sukebe Shitai JK no Manga Kakimashita (どうしてもスケベしたいJKの漫画描きました) ""I drew a manga about a high school girl who wants to do perverted stuff no matter what""*"
,Kakunaru Ue wa,Romance|Comedy|Drama|School Life|Shota|Slice of Life|Gyaru,data/images\356de811-ae92-48f1-b93b-cfdf0f8d02e4.jpg,Uehara-kun  who loves 2D  dreams of becoming a comic artist one day! However  his dream is threatened when an editor rejects his work as too boring. The next day  while contemplating giving up on his dream  a gal in his class  Miyamoto Niina  sees his manuscript…
,Wolf Constellation,Historical|Romance|Crime|Mafia|Sexual Violence|Military|Drama|Supernatural,data/images\64472f4c-2907-46fd-9789-19712a311eb4.jpg,This manga is partly inspired by the real-life Japanese horse bandit  Hakuro Kohinata  and depicts the tumultuous life of Kensaku Ohinata  who moved to China at a young age  was kidnapped by a group of horse bandits  but rose to prominence among their ranks and eventually grew up to unite a number of them under the name of Xiao Dongyang. Kensaku's adventurous spirit and ambition  as well as his positive  brave personality  can sometimes lead to light-hearted mischief  but as he matures into a young man  he grows to experience bouts of delusion. Regarded as one of Mitsuteru Yokoyama's most realistic and human works  this manga draws inspiration from another real-life Japanese horse bandit: Date Junnosuke  thus vividly depicting the reality of Chinese horse bandits.
,Touhou - Koiiro no Kyoukai,Romance|Magic|Girls' Love|Fantasy,data/images\22dbd06d-8d3c-458e-895c-d726abd16dc0.jpg,
,Go! Ina Junior High Ping-Pong Club,Award Winning|Romance|Comedy|Sports|School Life,data/images\b7e5b450-94ee-4060-9e7e-3e0785707000.jpg,"There are six members of the boy's ping pong club. Two are relatively normal; however  the other four consist of an aspiring sexual deviant  two perverts  and a guy with lethal B.O. Add in a cantakerous girl as a manager  and you have the entire crew.      This series pushes the boundaries of good taste beyond anything the western world has experienced  yet somehow manages to remain vaguely charming. The antics of the ping pong club includes one member's trademark ""Protruding Pecker Serve "" molesting cross-dressing members  and the infamous ""Turtle Sequence "" which is much too horrifying to describe.      In 1996  this manga won the Kodansha Manga Award for general manga."
,Black Clover,Monsters|Action|Demons|Comedy|Adventure|Magic|Military|Drama|Fantasy|Supernatural|Mystery,data/images\e7eabe96-aa17-476f-b431-2497d5e9d060.jpg,"Asta and Yuno were abandoned together at the same church  and have been inseparable since. As children  they promised that they would compete against each other to see who would become the next Emperor Magus. However  as they grew up  some differences between them became plain. Yuno was a genius with magic  with amazing power and control  while Asta could not use magic at all  and tried to make up for his lack by training physically. When they received their Grimoires at age 15  Yuno got a spectacular book with a four-leaf clover (most people receive a three-leaf-clover)  while Asta received nothing at all. However  when Yuno was threatened  the truth about Asta's power was revealed  he received a five-leaf clover Grimoire  a ""black clover""! Now the two friends are heading out in the world  both seeking the same goal!  ---  **Links:**   [AnimeNewsNetwork](https://www.animenewsnetwork.com/encyclopedia/anime.php?id=18802) (special)   [AnimeNewsNetwork](https://www.animenewsnetwork.com/encyclopedia/anime.php?id=19743) (anime)"
,Chijou 100-kai,Action|Survival|Adventure|Sexual Violence|Gore|Drama|Mystery,data/images\d7263b06-d816-499e-aa3a-54a3ea48e6b5.jpg,21st Century  Tokyo. People called “challengers” are gambling their life trying to escape from the state-owned 100 Story Tower to win 10 billion yen. But what will happen when Tatsuki Kuroumi awakes at this tower without remembering anything about his prior life  including entering the tower as challenger?
,Masquerade Confidence: The Conman and the Girl’s Masked Journey,Thriller|Action|Adventure|Drama|Supernatural|Mystery|Adaptation,data/images\438cf6bc-362b-4f79-8099-8a70460dd920.jpg,A man who uses masks to impersonate others and swindle money— The con artist  Linus Krueger. Obsessed with money above all else  Linus's world comes crashing down when  one day  a girl named Chronica  who can read souls  sees through his lies and steals the fortune he painstakingly amassed. Using his own fortune as leverage  she drags him into a life-threatening journey.  In a modern fantasy world where bullets and supernatural powers fly— The runaway adventure of two incompatible souls begins now.
,Mayonaka Heart Tune,Romance|Comedy|Harem|Drama|School Life|Slice of Life,data/images\0a4bdf95-dc11-4011-937e-7bdc4dd6e786.jpg,"""Late at night  alone on my bed  your voice was the only thing that saved me. I want to talk to you again. There's something I want to say.""  Without knowing her real name or face  Yamabuki Arisu  a second-year high school student  was looking for a girl named ""Apollo'' who was a livestreamer. However  one day  Arisu gets a clue about Apollo from the broadcast club of the high school where she is going. There were 4 beautiful girls who dreamed of ""getting a job related to voice""!! Who is Apollo? What will happen to the dreams of the four people? ___ **Links:** - Official English - [K MANGA](https://kmanga.kodansha.com/title/10568/episode/347385) (U.S. Only)"
,Kouchuugun Shikan Boukensha ni Naru,Sci-Fi|Monsters|Action|Romance|Adventure|Magic|Harem|Military|Drama|Fantasy|Aliens|Adaptation,data/images\48221bce-0fd2-4519-b5f3-4fdc1921007b.jpg,In order to protect the planet Ares from invasion by the Bugs  Alan Corinth has set his sights on nothing less than ruling the entire continent. The Kingdom of Belta  which borders the Great Demon Forest  is the ideal spot to start putting his plan in motion  so he and his party set off for the gathering place of the finest adventurers the kingdom has to offer: the citadel of Gantz.  Will Alan be able to keep the hostile aliens from overrunning this fantasy planet?  The sci-fi medieval fantasy story begins!
,I Was Supposed to Go See a Movie with My Male Friend  But…,Crossdressing|Web Comic|Full Color,data/images\fe4805d9-1b36-47df-a02a-646084d14e43.jpg,Decided to go to a movie with my friend. Little did I know  he had a different idea in mind…
,TS fox girl glaring at me,Genderswap|Web Comic|Full Color,data/images\5449a0f7-916c-4a73-8685-4c39adbffdda.jpg,Author’s DESCRIPTION:   ...I think TS girls who are unknowingly jealous are the best... He probably doesn't mean to stare at you. I just couldn't help but follow her with my eyes... When she sees her best friend (male) happily chatting with another female And when he sees his best friend (male) talking happily with another female  he can't help but show his jealousy on his face... You used to be a male  but now the female in you is coming out little by little. I bet he subconsciously thinks the male belongs to him... He's a possessive lover...
,Fushigi no Mayuri-san,Demons|Ghosts|Comedy|4-Koma|School Life|Slice of Life|Supernatural,data/images\e2f01c25-14e3-43c4-856d-ebc10ff195eb.jpg,Yuusuke  a 7th grader  is interested in his friend's older sister for various reasons. The older sister  while a little strange  is a kind and caring girl. She's mysterious but is popular with everyone.   This is an ordinary comedy about Mayuri-san's mysterious everyday life.
,JoJo's Bizarre Adventure  Part 8: JoJolion (Official Colored),Thriller|Award Winning|Reincarnation|Official Colored|Action|Comedy|Adventure|Sexual Violence|Gore|Drama|Horror|Fantasy|Slice of Life|Supernatural|Mystery,data/images\7a9d76c3-42b9-4bcf-81d7-ad307d2ea971.jpg,In 2011  childhood friends Yasuho Hirose and Joushuu Higashikata discover a naked man buried in the ground just outside the town of Morioh. The man has no memory of his name or previous life; the only thing he remembers about himself is how to use his Stand  a supernatural ability that takes the form of a humanoid creature. The stranger is quickly given a name  Jousuke  and Joushuu's father Norisuke decides to adopt him into the Higashikata household until he can find his own home.  As Jousuke begins to investigate his past  it becomes apparent that he is no ordinary amnesiac. There is much more to his identity than he first suspected  and  as he is thrust into a series of high-stakes Stand battles  he soon begins unravelling a deadly conspiracy that encompasses the entire town.
,Why did they do this to me?,Crossdressing|Web Comic|Full Color,data/images\bb064740-f04c-4896-9065-9c6f4e399427.jpg,
,Mobile Suit Gundam - Valpurgis EVE,Sci-Fi|Action|Mecha,data/images\69373c97-2794-4304-97b7-7477975f962f.jpg,"Haman Khan's sister stands up for her country!  In January 0089 of the Universal Century  Neo Zeon is defeated by AEUG in the final battle. Defeated by the ZZ Gundam  Haman Karn is killed in battle  and the remaining Neo Zeon warriors decide to fight in mourning. In order to counter the one-sided attack  Serana Khan  Haman Khan's sister  makes a sortie with the NT exclusive MS prototype Demartell. The secret story of the birth of the fake Haman Karn from ""Mobile Suit Gundam Valpurgis"" and the story of the birth of Over. On  which has never been told before  will be depicted!"
,XX Shinaide! Tsukimine-san,Romance|School Life|Vampires|Supernatural,data/images\7477bdb7-c146-41f7-a8de-29c7b7b5034c.jpg,"Hidaka Akira is a high school student who loves solitude. He avoids the crowds in his class and decides to eat alone  but there is someone who disturbs his peace. It is Tsukimine Chiyo  the girl at the highest level in the school hierarchy  a girl who is absolutely beautiful. Tsukimine called Akira and asked him to do his ""usual thing"". What kind of ""normal"" did they mean  and why were her clothes off...?"
,A Stripeless Tiger Is Now a Gal!,Comedy|Boys' Love|Crossdressing|Web Comic|Full Color,data/images\bfd086e7-82db-4d9c-8b08-9ab7b75efd81.jpg,
,You Can't Have My Blood,Long Strip|Romance|Boys' Love|Drama|Vampires|Supernatural|Full Color,data/images\4722b2c4-04ef-40d6-b130-eec22ae7a754.jpg,"A sweet contract romance between a vampire and a human! Siyun accidentally meets Jinwoo  a famous vampire director of a well-known foundation  at a café. He offers him a matching partner proposal where he would provide him with his blood. ""I’m already anemic and short on blood—why me of all people?!"" As their affection deepens  what will become of them?"
Nanase-san no Koi ga Ijou,,Romance|Comedy|Office Workers|Drama,data/images\80c46754-6fd6-4f28-a7bd-0d8df7ae56bc.jpg,Takahashi met Nanase  a beautiful and seemingly innocent woman  on a dating app. They were steadily growing closer in their relationship until one day  when he goes to Nanase's house  he finds a shocking sight...?
,Douka Ore o Houtte Oitekure: Nazeka Bocchi no Owatta Koukou Seikatsu o Kanojo ga Kaeyou to Shitekuru,Time Travel|Romance|Comedy|Drama|School Life|Slice of Life|Supernatural|Adaptation,data/images\86d25eac-eb2f-4ec0-a341-f1a5cbbe80b8.jpg,Love  friendship  and a glorious adolescence—that’s what Hodoka Nanamura hoped for when he entered high school. But by his final year  he had none of it. Then  on the eve of graduation   he sacrifices himself to save his classmate  Sora Hanamitsuji  from on oncoming truck  ending his life… Or so it should have.  Instead  he and Hanamitsuji were both transported back in time to their first year of high school  just before the entrance ceremony. Though Nanamura resigned himself to reliving the same unremarkable  lonely high school years  Hanamitsuji swears that she’ll drag him out of his loner lifestyle!  With a second chance at high school  Nanamura gets to experience the best (and worst) coming-of-age romcom of his life!  *Source: Manga UP! Global*
,Ranpo Amnesia - 21-banme no Jinkaku,Psychological|Comedy|Crime|Mystery,data/images\7a52d625-3055-45e1-a4cf-57cf4dfec07d.jpg,"Are you familiar with the mystery of the ""Fiend with Twenty Faces""? A thief and a master of disguise  he used to steal only from the very rich. But it's been five years since he disappeared after developing a dissociative identity disorder. Now  his daughter Mayumi sets out to find him. In the process  she must find her way out of situations that keep getting more perverse and absurd as the story progresses... In this first volume of the series  Shintaro Kago offers us his take on the universe of the famous detective novelist Edogawa Rampo  one of the founding fathers of ero-guro. Kago's weirdness and Rampo's detective mysteries combine to form a world full of abnormalities and illusions!"
,Onii-chan Is Done For! - Highschool ONIMAI (Doujinshi),Genderswap|Romance|Girls' Love|Doujinshi|School Life|Web Comic|Slice of Life,data/images\04789891-74e5-49e8-896e-63a09f2e8f56.jpg,Without being able to return to being a man  Mahiro Oyama stayed as a girl since middle school and now has become a beautiful high-schooler who gets completely dominated by his first friend since the transformation  Momiji Hozuki  who has gotten really tall and became popular with the girls in their school.
,Ochaocha ~Ochame na Okusan to no Nichijou Chabangoto~,Romance|Web Comic|Slice of Life,data/images\af6f72d6-af16-4974-ac72-c8ca8cb6db58.jpg,**Links:** - Alternate Official Raw - [X (Formerly Twitter)](https://x.com/gibagibagiba/status/1633031267829817344) (Chapter 2)  [Nico Nico Douga Manga](https://sp.manga.nicovideo.jp/comic/63088) (Different chapter numbering) - Defunct Official Raw (Chapter 1) - [Pixiv](https://www.pixiv.net/artworks/105860251)  [FANBOX](https://gibagibagiba.fanbox.cc/posts/5412957)
,Blue Lock,Thriller|Award Winning|Action|Psychological|Sports|Drama|School Life|Slice of Life,data/images\4141c5dc-c525-4df5-afd7-cc7d192a832f.jpg,"Yoichi Isagi lost the opportunity to go to the national high school championships because he passed to his teammate who missed instead of shooting himself. Isagi is one of 300 U-18 strikers chosen by Jinpachi Ego  a man who was hired by the Japan Football Association after the 2018 FIFA World Cup  to guide Japan to winning the World Cup by destroying Japanese football. Ego's plan is to isolate the 300 strikers into a prison-like institution called ""Blue Lock""  in order to create the world's biggest ""egotist""/striker  which has been lacking in Japanese football. ___ **Notes:** - **Won the 45th Kodansha Manga Award for Shonen in 2021**  **Links:** - Alternative Official English - [K Manga](https://kmanga.kodansha.com/title/10008/episode/318774) (U.S. Only)  [Kodansha](https://kodansha.us/series/blue-lock/)"
,IseGure - Isekai Cheat Musou - Ore TUEEE-kei Ikiri Tenseisha ni Kamaseinu ni sare Tsuzuketa Elite Kishi  Chou Gureru.,Reincarnation|Comedy|Isekai|Fantasy|Delinquents,data/images\eeafdf50-e0de-4cf0-a1cc-3263fce1f403.jpg,"""I'm not just a foil!""  In order to stop more people from reincarnating into his world  the former elite knight leader sets out on a mission!"
,The Ravages of Time,Historical|Action|Psychological|Romance|Martial Arts|Adventure|Military|Drama|Mystery,data/images\f6ce20ca-73c3-4fdd-9367-e2901fca780e.jpg,"Nearly 2000 years ago  the prosperous Han dynasty of China collapsed. Heroes rose and fell  and three nations emerged–Wei  Shu  and Wu. Historians refer to this period as the Three Kingdoms period. The romance of the three kingdoms is an intriguing tale of heroic deeds  of alliance forged and broken  of loyalty and betrayal.      Hong Kong artist Chan Mou retells this classic tale in ""The Ravages of Time"" from the perspective of the Sima clan  which in the end united the three kingdoms. Readers will be attracted by an array of well-developed characters and Chan Mou's own unique top-notch art-style. Whether you have played Dynasty Warriors or not  this is definitely worth a read!"
,Becoming a Witch in a World Full of Monster Stories,Genderswap|Action|Long Strip|Magic|Drama|Fantasy|Web Comic|Supernatural|Adaptation|Full Color,data/images\ff442aab-7908-40bc-8d10-93c6bb318466.jpg,Day 1: Recently my eyes seem to be a bit off  always seeing strange things. Wait  the cabinet seems to be moving  I'll go check it out. ...... Day 13: I see them! Damn! Why is this world full of monsters!? ...... Day 101: There's nothing to be afraid of anymore! Donning a witch's gown  I've become a monster myself!
,Shingetsutan Tsukihime,Thriller|Monsters|Action|Romance|Survival|Zombies|Martial Arts|Magic|Harem|Gore|Drama|School Life|Horror|Fantasy|Vampires|Monster Girls|Supernatural|Mystery|Adaptation|Tragedy,data/images\477800d5-bae8-4adb-b422-23e6cfa7ec87.jpg,"The story follows Tohno Shiki  a teenage boy who  after a near-fatal accident in his childhood  gained the mysterious power to perceive lines covering everything around him. When he cuts along these lines  whatever it was immediately falls apart with a clean cut; in other words  killing it. He would have quickly gone insane from living in a world that could fall apart so easily  had it not been for a wandering self-proclaimed magician who gave him a pair of glasses that blocked his unnatural perception when worn.      Soon afterwards  he was disinherited from his family and sent to live with some relatives. For eight years he lived a normal life  hiding his special eyes  until one day he receives a letter inviting him to come back home. Shiki suddenly becomes caught up in a strange and life-threatening series of events  ones that are somehow linked to his childhood accident and a forgotten past…      Adaptation of the visual novel Tsukihime by Type-Moon."
,Red Blue,Action|Comedy|Sports|Martial Arts|School Life,data/images\96ae166c-d8e1-4e9e-88cb-805b65154d7e.jpg,"Suzuki Aoba  a gloomy  social outcast  is satisfied with his Highschool life though he occasionally gets beaten up by his classmate Iwase Sannosuke in ""play-fights"". One day  Aoba is saved from a ""play-fight"" by none other than Akasawa Kenshin  a boy from the class next door and the rising rookie superstar sensation of the MMA world. However  Kenshin wonders aloud if Aoba feels empty when Aoba states that he doesn't have a dream  which Aoba doesn't react to kindly. He vows to land one punch on Kenshin in the future. Aobas joins the Shark Gym lead by the sloppy Kanenari Tokiwa to achieve his dream of besting Kenshin."
,Majo wa Mangetsu ni Saku,Romance|Comedy|Magic|School Life|Fantasy|Supernatural,data/images\ffee8fd8-3a03-4420-bc5b-793be56eb30c.jpg,"Koichi Hotaka is a second-year junior high school student who is a bit of a shy. One day  he meets a mysterious girl  Shima  who calls herself the ""Witch of Alstroemeria"" and is chosen as her ""contractor"". A fantasy of love and magic set on the night of the full moon!"
,Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai.,Traditional Games|Monsters|Romance|Comedy|Drama|School Life|Slice of Life,data/images\d3390cac-4827-436b-a9a2-4f317a155117.jpg,In everything he does  it seems like geeky Tokiwagi Middle School student Hajime Kano comes in second place behind popular honor student Emi Sawatari. But when Hajime takes a trip to a new game store he’s been hearing about  their rivalry takes an unexpected turn. Welcome to the early years of *Magic: The Gathering*  when a trading card game shaped a generation forever!
,Doko Dere?,Romance|Self-Published|Harem|School Life|Web Comic,data/images\d9e61bcc-49c5-4cec-9357-507108d0a268.jpg,A lonely young boy finds his solitude disrupted in a way he hadn't hoped. But perhaps he can make the best of it...
,Villain to Kill,Reincarnation|Action|Long Strip|Magic|Fantasy|Web Comic|Supernatural|Full Color,data/images\94e6f5a4-a215-4f5b-ae82-febc560be66d.jpg,There are two kinds of people with special abilities: villains  who are driven by their evil desires  and psykers  who pursue justice and work against villains.  Cassian Lee is a very powerful psyker with a good heart. But one day  when he visits his friend in Greece  things take a wrong turn. Following an unexpected chain of events  Cassian ends up in the body of a Korean high school boy... who has just become a villain!   Will his sense of justice win in the end or will he end up becoming a cold-blooded villain?
,Hajimete no Ojou-sama,Romance|Comedy|Drama|School Life|Slice of Life,data/images\aac380f1-6a3b-48b9-8c25-850b7286165e.jpg,Ojou Kotone is a first-year high school girl who was having trouble using the ticket machine at the station  Suguru Sewa  a first-year high school boy passing by helped her out  and he surprised as she transferred to Sewa's high school. It's her first time to taking the train  her first trying curry udon  Sewa being her first friend. This is a love comedy of firsts between a young lady and a caring high school boy!
,Shard of a Broken Glass Slipper,Time Travel|Long Strip|Romance|Fantasy|Adaptation|Full Color,data/images\eb4c3542-46a5-4ffa-ae1c-a038353a8b0c.jpg,Everyone adored my stepsister  Loena. And I  her elder sister Siché  hated her.  “Loena. I really hate you.”  After losing everything  Siché left behind those final words and ended her life before Loena’s eyes.  That should have been the end...  “My name is Loena. Are we going to be family now?”  Life began to repeat itself. Cruelly  hopelessly so.
,The Stellar Swordmaster,Action|Long Strip|Magic|Drama|Fantasy|Adaptation|Full Color,data/images\abe0bb3b-a05e-4602-aa4f-578e0b962cf9.jpg,The so-called “Lighthouse of the North ” the prosperous trading town of Schoarra  hides a dark underbelly: seedy slums ruled by five ruthless crime bosses.  When streetwise orphan Vlad finds the brothel he works for decimated by a disgraced knight  he turns to the path of the blade  pledging himself to the pursuit of power by sword.   Blessed with the ability to seek wisdom from his sentient sword  Vlad embarks upon a journey of growth and peril as swordsman in service to the powerful House Vayezid.
,Dimension Wave,Genderswap|Action|Adventure|Virtual Reality|Video Games|Fantasy,data/images\99cb051f-667c-4750-b72f-6db45c968bc4.jpg,Dimension Wave—a super popular VRMMO game where players can experience several years of fantasy in just twenty-four hours of real time. Enticed by the entry ticket his sisters won  a young man takes part in the project’s Second Wave. However  as soon as he enters the world of the game  he finds that his sisters have played a trick: he’s been transformed into a girl with the cringy name Kizuna†Exceed. But instead of letting it get to him  he decides to chill and take this new life as it comes. Without sparing a fraction of a second deciding  Kizuna immediately chooses to fish rather than fight on the front lines in this fantasy world. Alongside his sisters  Kanade and Tsumugi  a Japanese-style beauty named Shouko  Yamikage the fake ninja  and other quirky comrades  he works to enjoy his second life to the fullest.  NOTE: Many characters that appear in “Dimension Wave” also appear in “The Rising of the Shield Hero.” However  despite the many similarities  the characters in both series are not related to each other. “Dimension Wave” is not a spin-off of “The Rising of the Shield Hero”  but a separate story in a different universe that shares many similarities.  [Official English Light Novel](https://j-novel.club/series/dimension-wave)
,Alcatraz of Desire,Action|Survival|Adventure|Drama|Web Comic,data/images\82289b05-afa4-4c20-beba-f3c9346a2a92.jpg,A shipwreck that occurred under dubious circumstances leaves survivors stranded on a remote  desolate island. On this island  desires begin to take root. The lucky survivors  each with their own hidden agendas  the fierce  voracious beasts  and the cannibal tribe lurking in the shadows are all enemies in the name of survival. On this forsaken  desolate island  who will be able to overcome all odds  emerge triumphant and return home?
,3000-nen Fuuinsareshi Jaryuu-chan to Tomodachi ni Narimashita,Romance|Comedy|Fantasy|Monster Girls|Slice of Life,data/images\a9a309ea-7711-4c3d-af13-2bfa54cd31be.jpg,Yuuto Kuroma  a 14-year-old with a serious case of chuunibyou  accidentally summons the ultimate Dragon King using a magic circle he had doodled purely on a whim... (Wait  seriously?) On top of that  due to certain circumstances  Yuuto ends up becoming friends with a lonely evil dragon girl who had been sealed away for 3000 years...! Now  the fate of the world is casually entrusted to one unsuspecting boy!
,Super no Ura de Yani Suu Futari,Award Winning|Romance|Comedy|Office Workers|Web Comic|Slice of Life,data/images\baa95345-24fb-47a9-83e9-434ff671f968.jpg,Sasaki  an overworked salaryman  goes through an average stressful day just for a single light at the end of the tunnel: Yamada  the always-cheerful clerk at his favorite convenience store.   One day  Sasaki takes an extra amount of time at a company meeting  and by the time he gets to the convenience store Yamada has already clocked out. However  as he leaves  he notices a young woman with piercings smoking behind the store?  --- **Links:** - Alternative Official English - [Manga UP!](https://global.manga-up.com/manga/261)
,Isekai Meikyuu no Saishinbu wo Mezasou,Action|Psychological|Adventure|Harem|Isekai|Drama|Fantasy|Adaptation|Tragedy,data/images\c6c428b5-b8e4-42f6-8777-8f548f45e79d.jpg,"Kanami  a young man that strayed into another world and suddenly awoke in a dark corridor is nearly killed by a demon and humans. Then preferring to use the status and skill systems Kanami aims for the deepest part of the Labyrinth. The skill [? ? ?] consumes his emotions  and he befriends some unusual people  but while his spirit wanes in the other world's Labyrinth he refuses to give up on returning to his original world.      ""I'll absolutely save you. Hence I will–!!"" Aikawa Kanami awakes in a corridor he has no recollection of  the wound he received from a goblin is cured by a pretty girl called Lastiara  and he learns that he's in a different world that's exceedingly similar to a game. Kanami makes into his weapon the hearty welcomed status and skills  and with a pretty girl Dia plunges forward towards the deepest part of the labyrinth that's rumoured to ""grant any wish""–."
,Watashi no Shiawase na Kekkon,Historical|Romance|Drama|Supernatural|Adaptation,data/images\8aa1fb77-c86e-41db-adfb-0737c3438113.jpg,I wish for an ephemeral “happiness”…  Despite being born into a family with unusual powers in its bloodline  Saimori Miyo had not inherited any special abilities. Moreover  she was treated like a lowly servant by her half-sister  who in an ironic twist of fate had awakened an ability of her own. Unloved by her parents and shunned by all  Miyo was a forgotten daughter. Even her childhood friend  her one and only ally  chose to marry her half-sister in order to take over the estate. Seen as nothing more than a hindrance  Miyo is married off to the Kudou family. To a man rumored to be cold and ruthless…  Adapted from a light novel! Japanese-style fantasy x Marriage. A story of love blossoming from marriage.  --- **Links:** - Alternative Official English - [Manga UP!](https://global.manga-up.com/manga/161)
,Nura: Rise of the Yokai Clan,Action|Comedy|Adventure|Drama|Fantasy|Supernatural,data/images\7fd905ef-329b-4ec7-88bc-6a983c213353.jpg,Rikuo Nura is descended from Nurarihyon  Grand Master of the spirit world  but appears to be just a normal kid. He usually just wants to live peacefully as a human  but when his friends and allies are in trouble  his spirit blood boils  and he transforms into Nurarihyon to wipe out evil! A new concept story combining spirits and chivalry! A piquant  gallant ghost action story!
,Monochrome Days,Office Workers|Drama,data/images\4604db12-cafd-4572-a9f8-68525fb1b167.jpg,A reliable office worker  Hanaichi Fudo  undoubtedly had a gift for the arts but gave up on his dreams of becoming an artist to lead a normal life. One day  his senior at work  Saori Wakaba  asked Hanaichi for help in writing her manga. Will he take up the pen again?!
,Girl Meets Rock!,Award Winning|Comedy|Drama|School Life|Slice of Life|Music,data/images\7b727ae2-2842-4c46-af8b-9162b7806659.jpg,With a passion for richly textured Japanese rock  first-year high school student Chihiro Hatono steps into the world of the light music club  new guitar in tow. But what awaits her behind those doors...? ___ **Official English Volumes:** [Seven Seas](https://x.com/gomanga/status/1959021776748298447)
,G.G.G.,Action|Comedy|Crime,data/images\3b3cf500-72f5-445b-8ff8-2ba6955096b5.jpg,Dentor works at a nursing home where a man of legend is rumored to be. But it turns out he's actually a promising young talent making waves in the mafia. Dentor's assignment is to infiltrate the nursing home where the legendary assassin Omega is in hiding  and snatch the 100 million dollar bounty...!  (MANGA Plus)
,My Favorite VTuber Is Scary IRL,Romance|Comedy|Drama|Web Comic|Slice of Life,data/images\76424fe0-ec26-400c-a0c9-93a17114a4ae.jpg,An introverted part-time food delivery guy working in the countryside receives a food delivery order. When he reaches the delivery address  he discovers that the recipient is a tall and intimidating-like woman. However  as the story unfolds  he eventually discovers…
,Captain Kid,Historical|Action|Comedy|Adventure|Magic,data/images\d152582d-3f0c-4f5e-a0c1-6658b9be30f0.jpg,In the 19th century  there lived a young pirate king  feared enough to be called the “Devil of the Sea”. His name is Captain Kid! With his mysterious guardian sword  Black Lightning  he sails the seven seas aboard his vessel  the Golden Drake!! What awaits him? Is it hell  or the furious waves of the ocean?! The adventurous tale of Kid and his band of rogues begins here!!
,BanG Dream! Girls Band Party! Event Diary,Slice of Life|Adaptation,data/images\cba1fbd1-ca0a-45df-a179-9e8b31f15dbe.jpg,BanG Dream! Girls Band Party! Event Diary (バンドリ！ガールズバンドパーティ！ イベントダイアリー) is a comicalization of the event stories from the game Girls Band Party! by Kurobuchi Kashiko.
,Aria,Sci-Fi|Comedy|Adventure|Drama|Slice of Life,data/images\8edf35b1-8948-45df-9971-981094126f48.jpg,"On the planet Aqua  a world once known as Mars  Mizunashi Akari has just made her home in the town of Neo-VENEZIA  a futuristic imitation of the ancient city of Venice. The technology of ""Man Home"" (formerly Earth) has not entirely reached this planet  and Akari is alone  having no contact with family or friends. Nonetheless  the town  with its charming labyrinths of rivers and canals  becomes Akari's new infatuation  along with the dream of becoming a full-fledged gondolier. Reverting to a more ""primitive"" lifestyle and pursuing a new trade  the character of Akari becomes both adventurous and heartwarming all at once."
,Takane-san and Arashi-chan - University Story,Romance|Comedy|Girls' Love|School Life|Web Comic|Slice of Life,data/images\018d4130-4c05-4ed2-9966-d903e755d53d.jpg,
,Bad Guy,Action|Long Strip|Comedy|Mafia|Drama|School Life|Web Comic|Full Color,data/images\c016374f-4670-4d80-9299-46cea9a567ae.jpg,For 10 years I tried to be a good person for her  whom she could love. But then I found out that she did not notice my feelings and fell in love with a bad guy! So from today  I decided to become bad.
,Devilman,Thriller|Sci-Fi|Monsters|Action|Demons|Psychological|Romance|Comedy|Survival|Adventure|Post-Apocalyptic|Sexual Violence|Military|Philosophical|Gore|Drama|School Life|Horror|Delinquents|Supernatural|Mystery|Tragedy,data/images\4393fd4e-d646-4bab-9c95-786168ccb618.jpg,Demons exist and their power is beyond what humans can fathom. In fact they are so strong that humans do not stand a chance against them in a fight. The only thing strong enough to defeat a demon is another demon and it is through this logic that Ryo Asuka hatches the plan to have his good-hearted friend Akira Fudo possessed by a demon. If a person is of pure of heart then he might be able to control the demon that possesses him and thereby acquire power equal to a demon. After raising some hell in a club the plan works and Akira is possessed by the powerful demon known as Amon. Now Akira is mankind's sole champion of justice against the hidden demon menace that has plagued humanity since the dawn of time.  [Official English](https://sevenseasentertainment.com/series/devilman-the-classic-collection/)
